scene,frame,time_sec,alert_type,message,timestamp
street,10,0.4,RUNNING,PERSON RUNNING #227 speed=22.2px/f,14:49:40
street,32,1.28,RUNNING,PERSON RUNNING #233 speed=8.1px/f,14:49:42
street,47,1.88,RUNNING,PERSON RUNNING #244 speed=12.1px/f,14:49:43
street,48,1.92,RUNNING,PERSON RUNNING #220 speed=18.0px/f,14:49:43
street,160,6.4,LOITERING,LOITERING #236 — stationary 6s,14:49:53
street,165,6.6,LOITERING,LOITERING #229 — stationary 6s,14:49:54
street,168,6.72,LOITERING,LOITERING #234 — stationary 6s,14:49:54
street,190,7.6,LOITERING,LOITERING #236 — stationary 7s,14:49:56
street,195,7.8,LOITERING,LOITERING #229 — stationary 7s,14:49:56
street,198,7.92,LOITERING,LOITERING #234 — stationary 7s,14:49:57
street,220,8.8,LOITERING,LOITERING #236 — stationary 8s,14:49:59
street,225,9.0,LOITERING,LOITERING #229 — stationary 8s,14:49:59
street,228,9.12,LOITERING,LOITERING #234 — stationary 8s,14:49:59
street,241,9.64,LOITERING,LOITERING #232 — stationary 6s,14:50:00
street,250,10.0,LOITERING,LOITERING #236 — stationary 10s,14:50:01
street,255,10.2,LOITERING,LOITERING #229 — stationary 10s,14:50:02
street,258,10.32,LOITERING,LOITERING #234 — stationary 10s,14:50:02
street,271,10.84,LOITERING,LOITERING #232 — stationary 7s,14:50:03
street,280,11.2,LOITERING,LOITERING #236 — stationary 11s,14:50:04
street,285,11.4,LOITERING,LOITERING #229 — stationary 11s,14:50:05
street,288,11.52,LOITERING,LOITERING #234 — stationary 11s,14:50:05
street,289,11.56,LOITERING,LOITERING #233 — stationary 6s,14:50:05
street,301,12.04,LOITERING,LOITERING #232 — stationary 8s,14:50:06
street,304,12.16,RUNNING,PERSON RUNNING #220 speed=10.0px/f,14:50:06
street,310,12.4,LOITERING,LOITERING #236 — stationary 12s,14:50:07
street,312,12.48,LOITERING,LOITERING #239 — stationary 6s,14:50:07
street,315,12.6,LOITERING,LOITERING #229 — stationary 12s,14:50:07
street,318,12.72,LOITERING,LOITERING #234 — stationary 12s,14:50:07
street,319,12.76,LOITERING,LOITERING #233 — stationary 7s,14:50:08
street,340,13.6,LOITERING,LOITERING #236 — stationary 13s,14:50:09
street,345,13.8,LOITERING,LOITERING #229 — stationary 13s,14:50:10
street,349,13.96,LOITERING,LOITERING #233 — stationary 8s,14:50:10
street,370,14.8,LOITERING,LOITERING #236 — stationary 14s,14:50:12
street,375,15.0,LOITERING,LOITERING #229 — stationary 14s,14:50:13
street,379,15.16,LOITERING,LOITERING #233 — stationary 10s,14:50:13
street,400,16.0,LOITERING,LOITERING #236 — stationary 16s,14:50:15
street,405,16.2,LOITERING,LOITERING #229 — stationary 16s,14:50:15
street,409,16.36,LOITERING,LOITERING #233 — stationary 11s,14:50:16
street,430,17.2,LOITERING,LOITERING #236 — stationary 17s,14:50:17
street,435,17.4,LOITERING,LOITERING #229 — stationary 17s,14:50:18
street,439,17.56,LOITERING,LOITERING #233 — stationary 12s,14:50:18
street,460,18.4,LOITERING,LOITERING #236 — stationary 18s,14:50:20
street,465,18.6,LOITERING,LOITERING #229 — stationary 18s,14:50:21
street,469,18.76,LOITERING,LOITERING #233 — stationary 13s,14:50:21
street,490,19.6,LOITERING,LOITERING #236 — stationary 19s,14:50:23
street,495,19.8,LOITERING,LOITERING #229 — stationary 19s,14:50:23
street,499,19.96,LOITERING,LOITERING #233 — stationary 14s,14:50:24
street,509,20.36,LOITERING,LOITERING #234 — stationary 6s,14:50:24
street,520,20.8,LOITERING,LOITERING #236 — stationary 20s,14:50:25
street,525,21.0,LOITERING,LOITERING #229 — stationary 20s,14:50:26
street,529,21.16,LOITERING,LOITERING #233 — stationary 16s,14:50:26
street,535,21.4,LOITERING,LOITERING #232 — stationary 6s,14:50:27
street,544,21.76,RUNNING,PERSON RUNNING #252 speed=8.1px/f,14:50:27
street,550,22.0,LOITERING,LOITERING #236 — stationary 22s,14:50:28
street,554,22.16,LOITERING,LOITERING #228 — stationary 6s,14:50:28
street,555,22.2,LOITERING,LOITERING #229 — stationary 22s,14:50:28
street,559,22.36,LOITERING,LOITERING #233 — stationary 17s,14:50:29
street,565,22.6,LOITERING,LOITERING #232 — stationary 7s,14:50:29
street,580,23.2,LOITERING,LOITERING #236 — stationary 23s,14:50:31
street,584,23.36,LOITERING,LOITERING #228 — stationary 7s,14:50:31
street,585,23.4,LOITERING,LOITERING #229 — stationary 23s,14:50:31
street,589,23.56,LOITERING,LOITERING #233 — stationary 18s,14:50:31
